shoe_name,price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5
Tatum 1 'Home Team' PF,10 795.00,https://www.nike.com/in/t/tatum-1-home-team-pf-basketball-shoes-JbXhDt/DZ3330-003,Unisex,0,0.0,DZ3330-108,Basketball Shoes,,,,12,3,Nike,Medium Grey/Gunsmoke/White,Black/Anthracite/Green Strike,White/Black/Green Strike/Total Orange,,
Nike Quest 3 Shield,6 837.00,https://www.nike.com/in/t/quest-3-shield-weatherised-road-running-shoes-zhChfr/CQ8894-001,Men,5,3.8,CQ8894-001,Weatherised Road Running Shoes,,,,13,2,Nike,Black/Dark Smoke Grey/White/Metallic Silver,Black/Obsidian Mist/Poison Green/Black,,,
Nike Quest 3 Shield,6 837.00,https://www.nike.com/in/t/quest-3-shield-weatherised-road-running-shoes-zhChfr/CQ8894-001,Men,5,3.8,CQ8894-010,Weatherised Road Running Shoes,,,,13,2,Nike,Black/Dark Smoke Grey/White/Metallic Silver,Black/Obsidian Mist/Poison Green/Black,,,
Air Jordan 1 Mid SE,12 295.00,https://www.nike.com/in/t/air-jordan-1-mid-se-shoes-tKS2kt/FJ4923-008,Men,5,5.0,FJ4923-008,Shoes,,100.0,50.0,12,1,Nike,,,,,
Nike Quest 5,6 295.00,https://www.nike.com/in/t/quest-5-road-running-shoes-8wZR01/DD0204-001,Men,29,3.7,DD0204-001,Road Running Shoes,,100.0,50.0,14,4,Nike,Black/Smoke Grey/Dark Smoke Grey/White,Black/Smoke Grey/University Red,Sea Glass/University Red/White/Blue Joy,Black/Racer Blue/White/High Voltage,
Nike Quest 5,6 295.00,https://www.nike.com/in/t/quest-5-road-running-shoes-8wZR01/DD0204-001,Men,29,3.7,DD0204-004,Road Running Shoes,,100.0,50.0,13,4,Nike,Black/Smoke Grey/Dark Smoke Grey/White,Black/Smoke Grey/University Red,Sea Glass/University Red/White/Blue Joy,Black/Racer Blue/White/High Voltage,
Nike Quest 5,6 295.00,https://www.nike.com/in/t/quest-5-road-running-shoes-8wZR01/DD0204-001,Men,29,3.7,DD0204-009,Road Running Shoes,,100.0,50.0,13,4,Nike,Black/Smoke Grey/Dark Smoke Grey/White,Black/Smoke Grey/University Red,Sea Glass/University Red/White/Blue Joy,Black/Racer Blue/White/High Voltage,
Nike Quest 5,5 977.00,https://www.nike.com/in/t/quest-5-road-running-shoes-8wZR01/DD0204-001,Men,29,3.7,DD0204-008,Road Running Shoes,,100.0,50.0,0,4,Nike,Black/Smoke Grey/Dark Smoke Grey/White,Black/Smoke Grey/University Red,Sea Glass/University Red/White/Blue Joy,Black/Racer Blue/White/High Voltage,
Nike Dunk High Retro SE,11 495.00,https://www.nike.com/in/t/dunk-high-retro-se-shoes-JR4mhQ/FB8892-200,Men,0,0.0,FB8892-200,Shoes,,,,13,1,Nike,,,,,
Nike Pegasus 40,11 297.00,https://www.nike.com/in/t/pegasus-40-road-running-shoes-3JpHzl/DV3853-002,Men,253,4.6,DV3853-100,Road Running Shoes,,,,17,8,Nike,White/Light Orewood Brown/Phantom/Obsidian,Black/Burgundy Crush/Geode Teal/Purple Ink,Wolf Grey/Black/White/Volt,University Red/Midnight Navy/Blue Joy/Sea Glass,White/Black/Photon Dust/Wolf Grey
