shoe_name,original_price,discounted_price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color_1,color_2,color_3,color_4,color_5
Future Rider Pastel women's Sneakers,"4,049","8,999",https://in.puma.com/in/en/pd/future-rider-pastel-womens-sneakers/383683?swatch=06&referrer-category=womens-shoes,women,,,383683_05,Sneakers,,,,4.0,2,Puma,Alpine Snow-Galaxy Pink,PUMA White-Sedate Gray,,,
Future Rider Pastel women's Sneakers,"4,499","8,999",https://in.puma.com/in/en/pd/future-rider-pastel-womens-sneakers/383683?swatch=06&referrer-category=womens-shoes,women,,,383683_06,Sneakers,,,,2.0,2,Puma,Alpine Snow-Galaxy Pink,PUMA White-Sedate Gray,,,
Mayze Mix women's Sneakers,"5,399","8,999",https://in.puma.com/in/en/pd/mayze-mix-womens-sneakers/387468?swatch=06&referrer-category=womens-shoes,women,,,387468_06,Sneakers,,,,2.0,4,Puma,PUMA White-Icy Blue,PUMA White-Alpine Snow,PUMA White-Ultraviolet,PUMA White-Rosebay,
Mayze Mix women's Sneakers,"5,399","8,999",https://in.puma.com/in/en/pd/mayze-mix-womens-sneakers/387468?swatch=06&referrer-category=womens-shoes,women,,,387468_08,Sneakers,,,,4.0,4,Puma,PUMA White-Icy Blue,PUMA White-Alpine Snow,PUMA White-Ultraviolet,PUMA White-Rosebay,
Mayze Mix women's Sneakers,"5,399","8,999",https://in.puma.com/in/en/pd/mayze-mix-womens-sneakers/387468?swatch=06&referrer-category=womens-shoes,women,,,387468_11,Sneakers,,,,6.0,4,Puma,PUMA White-Icy Blue,PUMA White-Alpine Snow,PUMA White-Ultraviolet,PUMA White-Rosebay,
Mayze Mix women's Sneakers,"4,499","8,999",https://in.puma.com/in/en/pd/mayze-mix-womens-sneakers/387468?swatch=06&referrer-category=womens-shoes,women,,,387468_13,Sneakers,,,,6.0,4,Puma,PUMA White-Icy Blue,PUMA White-Alpine Snow,PUMA White-Ultraviolet,PUMA White-Rosebay,
Tori women's Shoes,"3,999","4,999",https://in.puma.com/in/en/pd/tori-womens-shoes/383026?swatch=17&referrer-category=womens-shoes,women,,,383026_17,Shoes,,,,1.0,1,Puma,,,,,
PUMA SMASH V1 women's Sneakers,"3,999","4,999",https://in.puma.com/in/en/pd/puma-smash-v1-womens-sneakers/395642?swatch=01&referrer-category=womens-shoes,women,,,395642_01,Sneakers,,,,4.0,2,Puma,PUMA White-Metallic Gold,Rose Dust,,,
PUMA SMASH V1 women's Sneakers,"3,999","4,999",https://in.puma.com/in/en/pd/puma-smash-v1-womens-sneakers/395642?swatch=01&referrer-category=womens-shoes,women,,,395642_02,Sneakers,,,,5.0,2,Puma,PUMA White-Metallic Gold,Rose Dust,,,
PUMA SMASH V1 women's Sneakers,"3,999","4,999",https://in.puma.com/in/en/pd/puma-smash-v1-womens-sneakers/395642?swatch=02&referrer-category=womens-shoes,women,,,395642_01,Sneakers,,,,4.0,2,Puma,PUMA White-Metallic Gold,Rose Dust,,,
PUMA SMASH V1 women's Sneakers,"3,999","4,999",https://in.puma.com/in/en/pd/puma-smash-v1-womens-sneakers/395642?swatch=02&referrer-category=womens-shoes,women,,,395642_02,Sneakers,,,,5.0,2,Puma,PUMA White-Metallic Gold,Rose Dust,,,
PUMA Cali Court Patent women's Sneakers,"4,049","8,999",https://in.puma.com/in/en/pd/puma-cali-court-patent-womens-sneakers/394755?swatch=01&referrer-category=womens-shoes,women,,,394755_01,Sneakers,,,,6.0,2,Puma,PUMA Black-PUMA White,PUMA White,,,
PUMA Cali Court Patent women's Sneakers,"4,049","8,999",https://in.puma.com/in/en/pd/puma-cali-court-patent-womens-sneakers/394755?swatch=01&referrer-category=womens-shoes,women,,,394755_02,Sneakers,,,,6.0,2,Puma,PUMA Black-PUMA White,PUMA White,,,
PUMA Cali Court Patent women's Sneakers,"4,049","8,999",https://in.puma.com/in/en/pd/puma-cali-court-patent-womens-sneakers/394755?swatch=02&referrer-category=womens-shoes,women,,,394755_01,Sneakers,,,,6.0,2,Puma,PUMA Black-PUMA White,PUMA White,,,
PUMA Cali Court Patent women's Sneakers,"4,049","8,999",https://in.puma.com/in/en/pd/puma-cali-court-patent-womens-sneakers/394755?swatch=02&referrer-category=womens-shoes,women,,,394755_02,Sneakers,,,,6.0,2,Puma,PUMA Black-PUMA White,PUMA White,,,
RS-Pulsoid Metallic women's Sneakers,"5,999","9,999",https://in.puma.com/in/en/pd/rs-pulsoid-metallic-womens-sneakers/393207?swatch=01&referrer-category=womens-shoes,women,,,393207_01,Sneakers,,,,6.0,2,Puma,PUMA White,PUMA Black,,,
RS-Pulsoid Metallic women's Sneakers,"5,999","9,999",https://in.puma.com/in/en/pd/rs-pulsoid-metallic-womens-sneakers/393207?swatch=01&referrer-category=womens-shoes,women,,,393207_02,Sneakers,,,,6.0,2,Puma,PUMA White,PUMA Black,,,
Slipstream PRM women's Sneakers,"6,599","10,999",https://in.puma.com/in/en/pd/slipstream-prm-womens-sneakers/392061?swatch=03&referrer-category=womens-shoes,women,,,392061_03,Sneakers,,,,6.0,2,Puma,Future Pink-Warm White,Warm White-PUMA White,,,
Slipstream PRM women's Sneakers,"6,599","10,999",https://in.puma.com/in/en/pd/slipstream-prm-womens-sneakers/392061?swatch=03&referrer-category=womens-shoes,women,,,392061_05,Sneakers,,,,5.0,2,Puma,Future Pink-Warm White,Warm White-PUMA White,,,
RS-Pulsoid Metallic women's Sneakers,"5,999","9,999",https://in.puma.com/in/en/pd/rs-pulsoid-metallic-womens-sneakers/393207?swatch=02&referrer-category=womens-shoes,women,,,393207_01,Sneakers,,,,6.0,2,Puma,PUMA White,PUMA Black,,,
RS-Pulsoid Metallic women's Sneakers,"5,999","9,999",https://in.puma.com/in/en/pd/rs-pulsoid-metallic-womens-sneakers/393207?swatch=02&referrer-category=womens-shoes,women,,,393207_02,Sneakers,,,,6.0,2,Puma,PUMA White,PUMA Black,,,
Slipstream PRM women's Sneakers,"6,599","10,999",https://in.puma.com/in/en/pd/slipstream-prm-womens-sneakers/392061?swatch=05&referrer-category=womens-shoes,women,,,392061_03,Sneakers,,,,6.0,2,Puma,Future Pink-Warm White,Warm White-PUMA White,,,
Slipstream PRM women's Sneakers,"6,599","10,999",https://in.puma.com/in/en/pd/slipstream-prm-womens-sneakers/392061?swatch=05&referrer-category=womens-shoes,women,,,392061_05,Sneakers,,,,5.0,2,Puma,Future Pink-Warm White,Warm White-PUMA White,,,
Kaia 2.0 women's Sneakers,"2,999","5,999",https://in.puma.com/in/en/pd/kaia-2-0-womens-sneakers/392320?swatch=05&referrer-category=womens-shoes,women,,,392320_04,Sneakers,,,,3.0,2,Puma,PUMA White-Frosty Pink-Poppy Pink,PUMA White-Icy Blue-Electric Blush,,,
Kaia 2.0 women's Sneakers,"2,999","5,999",https://in.puma.com/in/en/pd/kaia-2-0-womens-sneakers/392320?swatch=05&referrer-category=womens-shoes,women,,,392320_05,Sneakers,,,,2.0,2,Puma,PUMA White-Frosty Pink-Poppy Pink,PUMA White-Icy Blue-Electric Blush,,,
Kaia 2.0 women's Sneakers,"2,999","5,999",https://in.puma.com/in/en/pd/kaia-2-0-womens-sneakers/392320?swatch=04&referrer-category=womens-shoes,women,,,392320_04,Sneakers,,,,3.0,2,Puma,PUMA White-Frosty Pink-Poppy Pink,PUMA White-Icy Blue-Electric Blush,,,
Kaia 2.0 women's Sneakers,"2,999","5,999",https://in.puma.com/in/en/pd/kaia-2-0-womens-sneakers/392320?swatch=04&referrer-category=womens-shoes,women,,,392320_05,Sneakers,,,,2.0,2,Puma,PUMA White-Frosty Pink-Poppy Pink,PUMA White-Icy Blue-Electric Blush,,,
Carina Slim Perf women's Sneakers,"2,339","4,499",https://in.puma.com/in/en/pd/carina-slim-perf-womens-sneakers/395829?swatch=01&referrer-category=womens-shoes,women,,,395829_01,Sneakers,,,,2.0,2,Puma,PUMA White-PUMA Gold,PUMA White,,,
Carina Slim Perf women's Sneakers,"2,249","4,499",https://in.puma.com/in/en/pd/carina-slim-perf-womens-sneakers/395829?swatch=01&referrer-category=womens-shoes,women,,,395829_02,Sneakers,,,,1.0,2,Puma,PUMA White-PUMA Gold,PUMA White,,,
Rider FVW Clean women's Sneakers,"4,799","7,999",https://in.puma.com/in/en/pd/rider-fvw-clean-womens-sneakers/390646?swatch=03&referrer-category=womens-shoes,women,,,390646_03,Sneakers,,,,2.0,2,Puma,PUMA White-Alpine Snow,Vapor Gray-Glacial Gray,,,
Rider FVW Clean women's Sneakers,"4,799","7,999",https://in.puma.com/in/en/pd/rider-fvw-clean-womens-sneakers/390646?swatch=03&referrer-category=womens-shoes,women,,,390646_04,Sneakers,,,,1.0,2,Puma,PUMA White-Alpine Snow,Vapor Gray-Glacial Gray,,,
Carina Slim Perf women's Sneakers,"2,339","4,499",https://in.puma.com/in/en/pd/carina-slim-perf-womens-sneakers/395829?swatch=02&referrer-category=womens-shoes,women,,,395829_01,Sneakers,,,,2.0,2,Puma,PUMA White-PUMA Gold,PUMA White,,,
Carina Slim Perf women's Sneakers,"2,249","4,499",https://in.puma.com/in/en/pd/carina-slim-perf-womens-sneakers/395829?swatch=02&referrer-category=womens-shoes,women,,,395829_02,Sneakers,,,,1.0,2,Puma,PUMA White-PUMA Gold,PUMA White,,,
Carina Street women's Sneakers,"3,639","6,999",https://in.puma.com/in/en/pd/carina-street-womens-sneakers/389390?swatch=02&referrer-category=womens-shoes,women,,,389390_02,Sneakers,,,,1.0,1,Puma,,,,,
Karmen Pop-Up Metallics women's Sneakers,"3,709","6,999",https://in.puma.com/in/en/pd/karmen-pop-up-metallics-womens-sneakers/394669?swatch=02&referrer-category=womens-shoes,women,,,394669_01,Sneakers,,,,1.0,2,Puma,PUMA Black-PUMA Black,PUMA White-PUMA White,,,
Karmen Pop-Up Metallics women's Sneakers,"3,709","6,999",https://in.puma.com/in/en/pd/karmen-pop-up-metallics-womens-sneakers/394669?swatch=02&referrer-category=womens-shoes,women,,,394669_02,Sneakers,,,,1.0,2,Puma,PUMA Black-PUMA Black,PUMA White-PUMA White,,,
