size_count,color_1,color_2,color_3,color_4,color_5,product_code
,Night Sky / Lucid Blue S23 / Pulse Blue / Better Scarlet S23,Grey Six / Core Black / Impact Yellow F22,Core Black / Lucid Blue S23 / Preloved Red S23,,,GC1108
,Night Sky / Lucid Blue S23 / Pulse Blue / Better Scarlet S23,Grey Six / Core Black / Impact Yellow F22,Core Black / Lucid Blue S23 / Preloved Red S23,,Cloud White / Silver Metallic / Coral Fusion S23,GC1109
,Collegiate Navy / Stone / Semi Impact Orange,Dove Grey / Grey Six / Lucid Lime,,,Cloud White / Silver Metallic / Coral Fusion S23,IQ9167
,Collegiate Navy / Stone / Semi Impact Orange,Dove Grey / Grey Six / Lucid Lime,,,Cloud White / Silver Metallic / Coral Fusion S23,IQ9168
,Clear Sky / Grey One / Cloud White,Wonder Quartz S23 / Halo Blush F21 / Cloud White,,,Cloud White / Silver Metallic / Coral Fusion S23,IE7350
,Clear Sky / Grey One / Cloud White,Wonder Quartz S23 / Halo Blush F21 / Cloud White,,,Cloud White / Silver Metallic / Coral Fusion S23,IE7351
,Grey Six / Preloved Red S23 / Stone / Core Black,Night Sky / Tech Indigo / Blue Fusion S23 / Active Gold,Core Black / Grey Six / Magic Beige F22,,Cloud White / Silver Metallic / Coral Fusion S23,GC1101
,Grey Six / Preloved Red S23 / Stone / Core Black,Night Sky / Tech Indigo / Blue Fusion S23 / Active Gold,Core Black / Grey Six / Magic Beige F22,,Cloud White / Silver Metallic / Coral Fusion S23,GC1102
,Grey Six / Preloved Red S23 / Stone / Core Black,Night Sky / Tech Indigo / Blue Fusion S23 / Active Gold,Core Black / Grey Six / Magic Beige F22,,Cloud White / Silver Metallic / Coral Fusion S23,GC1103
,Cloud White / Crew Blue S21 / Wonder Orchid F23,Wonder Blue F23 / Arctic Fusion F23 / Cloud White,,,Cloud White / Silver Metallic / Coral Fusion S23,ID1864
,Cloud White / Crew Blue S21 / Wonder Orchid F23,Wonder Blue F23 / Arctic Fusion F23 / Cloud White,,,Cloud White / Silver Metallic / Coral Fusion S23,ID1866
,Pink Fusion F23 / Pink Fusion F23 / Royal Blue,Shadow Red / Shadow Red / Wonder Clay F23,,,Cloud White / Silver Metallic / Coral Fusion S23,IG0648
,Pink Fusion F23 / Pink Fusion F23 / Royal Blue,Shadow Red / Shadow Red / Wonder Clay F23,,,Cloud White / Silver Metallic / Coral Fusion S23,IG0649
,Arctic Fusion / Cloud White / Semi Flash Aqua,Cloud White / Core Black / Grey One,,,Cloud White / Silver Metallic / Coral Fusion S23,ID4997
,Arctic Fusion / Cloud White / Semi Flash Aqua,Cloud White / Core Black / Grey One,,,Cloud White / Silver Metallic / Coral Fusion S23,IF3200
,Grey Five / Grey Two / Solar Red,Cloud White / Core Black / Grey Two,Core Black / Core Black / Core Black,Grey Five / Grey Two / Solar Red,Cloud White / Silver Metallic / Coral Fusion S23,HP5923
,Grey Five / Grey Two / Solar Red,Cloud White / Core Black / Grey Two,Core Black / Core Black / Core Black,Grey Five / Grey Two / Solar Red,Cloud White / Silver Metallic / Coral Fusion S23,GX1999
,Grey Five / Grey Two / Solar Red,Cloud White / Core Black / Grey Two,Core Black / Core Black / Core Black,Grey Five / Grey Two / Solar Red,Cloud White / Silver Metallic / Coral Fusion S23,GX2000
,Grey Five / Grey Two / Solar Red,Cloud White / Core Black / Grey Two,Core Black / Core Black / Core Black,Grey Five / Grey Two / Solar Red,Cloud White / Silver Metallic / Coral Fusion S23,IF7252
