product_code,review_count,size,comfort,durability,star
394634_01,,,,,
394634_02,,,,,
394633_01,,,,,
394633_02,,,,,
387542_01,,,,,
387542_03,,,,,
387542_04,,,,,
387542_05,,,,,
387542_06,,,,,
385788_01,,,,,
385788_02,,,,,
385788_01,,,,,
385788_02,,,,,
396066_01,,,,,
396066_02,,,,,
396066_03,,,,,
396066_04,,,,,
388731_01,,,,,
388731_03,,,,,
387542_01,,,,,
387542_03,,,,,
387542_04,,,,,
387542_05,,,,,
387542_06,,,,,
388816_01,,,,,
388816_02,,,,,
388816_03,,,,,
387542_01,,,,,
387542_03,,,,,
387542_04,,,,,
387542_05,,,,,
387542_06,,,,,
390943_01,,,,,
390943_05,,,,,
390943_06,,,,,
383802_01,,,,,
383802_04,,,,,
386940_04,,,,,
394633_01,,,,,
394633_02,,,,,
388846_04,,,,,
388846_05,,,,,
388846_06,,,,,
390943_01,,,,,
390943_05,,,,,
390943_06,,,,,
390943_01,,,,,
390943_05,,,,,
390943_06,,,,,
391850_01,,,,,
388052_01,,,,,
388052_02,,,,,
388052_03,,,,,
388789_01,,,,,
388789_02,,,,,
388789_03,,,,,
388789_01,,,,,
388789_02,,,,,
388789_03,,,,,
388051_01,,,,,
388051_02,,,,,
388051_03,,,,,
388051_04,,,,,
388051_05,,,,,
388815_01,,,,,
388815_02,,,,,
388815_03,,,,,
388815_04,,,,,
388815_05,,,,,
388815_06,,,,,
388051_01,,,,,
388051_02,,,,,
388051_03,,,,,
388051_04,,,,,
388051_05,,,,,
388815_01,,,,,
388815_02,,,,,
388815_03,,,,,
388815_04,,,,,
388815_05,,,,,
388815_06,,,,,
388815_01,,,,,
388815_02,,,,,
388815_03,,,,,
388815_04,,,,,
388815_05,,,,,
388815_06,,,,,
388789_01,,,,,
388789_02,,,,,
388789_03,,,,,
388846_04,,,,,
388846_05,,,,,
388846_06,,,,,
388846_04,,,,,
388846_05,,,,,
388846_06,,,,,
396065_01,,,,,
396065_02,,,,,
396066_01,,,,,
396066_02,,,,,
396066_03,,,,,
396066_04,,,,,
396066_01,,,,,
396066_02,,,,,
396066_03,,,,,
396066_04,,,,,
396065_01,,,,,
396065_02,,,,,
396066_01,,,,,
396066_02,,,,,
396066_03,,,,,
396066_04,,,,,
391269_01,,,,,
391269_02,,,,,
391269_03,,,,,
383802_01,,,,,
383802_04,,,,,
388815_01,,,,,
388815_02,,,,,
388815_03,,,,,
388815_04,,,,,
388815_05,,,,,
388815_06,,,,,
388815_01,,,,,
388815_02,,,,,
388815_03,,,,,
388815_04,,,,,
388815_05,,,,,
388815_06,,,,,
388815_01,,,,,
388815_02,,,,,
388815_03,,,,,
388815_04,,,,,
388815_05,,,,,
388815_06,,,,,
388816_01,,,,,
388816_02,,,,,
388816_03,,,,,
388816_01,,,,,
388816_02,,,,,
388816_03,,,,,
390008_01,,,,,
388053_01,,,,,
388053_03,,,,,
391269_01,,,,,
391269_02,,,,,
391269_03,,,,,
391269_01,,,,,
391269_02,,,,,
391269_03,,,,,
388731_01,,,,,
388731_03,,,,,
388051_01,,,,,
388051_02,,,,,
388051_03,,,,,
388051_04,,,,,
388051_05,,,,,
388052_01,,,,,
388052_02,,,,,
388052_03,,,,,
388052_01,,,,,
388052_02,,,,,
388052_03,,,,,
388053_01,,,,,
388053_03,,,,,
387542_01,,,,,
387542_03,,,,,
387542_04,,,,,
387542_05,,,,,
387542_06,,,,,
387542_01,,,,,
387542_03,,,,,
387542_04,,,,,
387542_05,,,,,
387542_06,,,,,
388051_01,,,,,
388051_02,,,,,
388051_03,,,,,
388051_04,,,,,
388051_05,,,,,
388051_01,,,,,
388051_02,,,,,
388051_03,,,,,
388051_04,,,,,
388051_05,,,,,
310619_01,,,,,
310595_01,,,,,
310595_02,,,,,
310421_04,,,,,
310595_01,,,,,
310595_02,,,,,
BL1020-012,0,,,,0
BL5578-010,0,,,,0
BL5578-053,0,,,,0
BL0354-439,0,,,,0
BL0159-329,41,,,,4
BL0159-010,41,,,,4
BL9797-010,0,,,,0
BL9797-125,0,,,,0
