shoe_name,category,color_count,original_price,product_code
Scuderia Ferrari R-Cat Machina unisex Driving Shoes,unisex,2,"3,599",307893_01
Scuderia Ferrari R-Cat Machina unisex Driving Shoes,unisex,2,"3,599",307893_02
Playmaker Pro Mid Trophies unisex Basketball Shoes,unisex,1,"5,999",379019_01
Playmaker Pro Trophies unisex Basketball Shoes,unisex,1,"5,399",379014_01
Scuderia Ferrari Clyde unisex Sneakers,unisex,1,"4,999",307826_02
RS-X Efekt Lux unisex Sneakers,unisex,2,"9,599",393153_02
RS-X Efekt Lux unisex Sneakers,unisex,2,"7,199",393153_03
Flyer Lite unisex Running Shoes,unisex,4,"2,749",378774_02
Flyer Lite unisex Running Shoes,unisex,4,"2,999",378774_04
Flyer Lite unisex Running Shoes,unisex,4,"2,999",378774_06
Flyer Lite unisex Running Shoes,unisex,4,"2,999",378774_07
Electrify NITRO 3 WTR men's Running Shoes,men,1,"6,599",378459_01
Scuderia Ferrari Future Cat OG Motorsport unisex Shoes,unisex,2,"4,499",307889_01
Scuderia Ferrari Future Cat OG Motorsport unisex Shoes,unisex,2,"4,999",307889_02
Scuderia Ferrari Future Cat OG Motorsport unisex Shoes,unisex,2,"4,499",307889_01
Scuderia Ferrari Future Cat OG Motorsport unisex Shoes,unisex,2,"4,999",307889_02
Future Cat OG Sparco unisex Motorsport Shoes,unisex,1,"5,399",307936_01
Slipstream Xtreme unisex Sneakers,unisex,2,"7,199",392434_01
Slipstream Xtreme unisex Sneakers,unisex,2,"7,199",392434_02
Reflect Lite unisex Running Shoes,unisex,8,"3,119",378768_01
Reflect Lite unisex Running Shoes,unisex,8,"5,399",378768_02
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_04
Reflect Lite unisex Running Shoes,unisex,8,"5,399",378768_05
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_06
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_08
Reflect Lite unisex Running Shoes,unisex,8,"5,399",378768_09
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_10
Cool Cat 2.0 BX unisex Slides,unisex,1,"2,699",389113_05
Flyer Lite unisex Running Shoes,unisex,4,"2,749",378774_02
Flyer Lite unisex Running Shoes,unisex,4,"2,999",378774_04
Flyer Lite unisex Running Shoes,unisex,4,"2,999",378774_06
Flyer Lite unisex Running Shoes,unisex,4,"2,999",378774_07
Popcat 20 Regency Romance unisex Slides,unisex,1,"2,249",393590_02
Mayze Stack Beach Days women's Sandals,women,1,"3,599",393066_02
Reflect Lite unisex Running Shoes,unisex,8,"3,119",378768_01
Reflect Lite unisex Running Shoes,unisex,8,"5,399",378768_02
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_04
Reflect Lite unisex Running Shoes,unisex,8,"5,399",378768_05
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_06
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_08
Reflect Lite unisex Running Shoes,unisex,8,"5,399",378768_09
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_10
PWR NITRO SQD men's Training Shoes,men,2,"12,999",378687_01
PWR NITRO SQD men's Training Shoes,men,2,"10,399",378687_03
Varion II unisex Indoor Sports Shoes,unisex,2,"4,199",107341_02
Varion II unisex Indoor Sports Shoes,unisex,2,"4,199",107341_04
Reflect Lite unisex Running Shoes,unisex,8,"3,119",378768_01
Reflect Lite unisex Running Shoes,unisex,8,"5,399",378768_02
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_04
Reflect Lite unisex Running Shoes,unisex,8,"5,399",378768_05
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_06
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_08
Reflect Lite unisex Running Shoes,unisex,8,"5,399",378768_09
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_10
Reflect Lite unisex Running Shoes,unisex,8,"3,119",378768_01
Reflect Lite unisex Running Shoes,unisex,8,"5,399",378768_02
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_04
Reflect Lite unisex Running Shoes,unisex,8,"5,399",378768_05
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_06
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_08
Reflect Lite unisex Running Shoes,unisex,8,"5,399",378768_09
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_10
Reflect Lite unisex Running Shoes,unisex,8,"3,119",378768_01
Reflect Lite unisex Running Shoes,unisex,8,"5,399",378768_02
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_04
Reflect Lite unisex Running Shoes,unisex,8,"5,399",378768_05
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_06
Reflect Lite unisex Running Shoes,unisex,8,"3,299",378768_08
