shoe_name,price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5
UNO 2 - PASTEL PLAYERS,"7,499.00",https://www.skechers.in/uno-2---pastel-players/155652-LTPK.html,WOMEN,2,5.0,155652-YEL,,,,60.0,3,3,skechers,LLLIGHT PINK,LLIGHT BLUE,YELLOW,,
UNO - STAND ON AIR,"6,999.00",https://www.skechers.in/uno---stand-on-air/73690-LTBL.html,WOMEN,1612,4.3,73690-PUR,,,,60.0,0,1,skechers,,,,,
UNO - STAND ON AIR,"6,999.00",https://www.skechers.in/uno---stand-on-air/73690-LTBL.html,WOMEN,1612,4.3,73690-MVE,,,,60.0,0,2,skechers,PURPLE,MMAUVE,,,
UNO - STAND ON AIR,"6,999.00",https://www.skechers.in/uno---stand-on-air/73690-LTBL.html,WOMEN,1612,4.3,73690-MNT,,,,60.0,1,3,skechers,PURPLE,MMAUVE,MINT,,
UNO - STAND ON AIR,"6,999.00",https://www.skechers.in/uno---stand-on-air/73690-LTBL.html,WOMEN,1612,4.3,73690-SLT,,,,60.0,5,4,skechers,PURPLE,MMAUVE,MINT,SLATE,
UNO - STAND ON AIR,"6,999.00",https://www.skechers.in/uno---stand-on-air/73690-LTBL.html,WOMEN,1612,4.3,73690-PLUM,,,,60.0,0,5,skechers,PURPLE,MMAUVE,MINT,SLATE,PLUM
UNO - STAND ON AIR,"6,999.00",https://www.skechers.in/uno---stand-on-air/73690-LTBL.html,WOMEN,1612,4.3,73690-RST,,,,60.0,3,6,skechers,PURPLE,MMAUVE,MINT,SLATE,PLUM
UNO - STAND ON AIR,"6,999.00",https://www.skechers.in/uno---stand-on-air/73690-LTBL.html,WOMEN,1612,4.3,73690-BLSH,,,,60.0,2,7,skechers,PURPLE,MMAUVE,MINT,SLATE,PLUM
UNO - STAND ON AIR,"6,999.00",https://www.skechers.in/uno---stand-on-air/73690-LTBL.html,WOMEN,1612,4.3,73690-DKMV,,,,60.0,4,8,skechers,PURPLE,MMAUVE,MINT,SLATE,PLUM
UNO - STAND ON AIR,"6,999.00",https://www.skechers.in/uno---stand-on-air/73690-LTBL.html,WOMEN,1612,4.3,73690-YEL,,,,60.0,0,9,skechers,PURPLE,MMAUVE,MINT,SLATE,PLUM
UNO - STAND ON AIR,"6,999.00",https://www.skechers.in/uno---stand-on-air/73690-LTBL.html,WOMEN,1612,4.3,73690-DKRD,,,,60.0,5,10,skechers,PURPLE,MMAUVE,MINT,SLATE,PLUM
UNO - STAND ON AIR,"6,999.00",https://www.skechers.in/uno---stand-on-air/73690-LTBL.html,WOMEN,1612,4.3,73690-PNK,,,,60.0,0,11,skechers,PURPLE,MMAUVE,MINT,SLATE,PLUM
UNO - STAND ON AIR,"6,999.00",https://www.skechers.in/uno---stand-on-air/73690-LTBL.html,WOMEN,1612,4.3,73690-LTBL,,,,60.0,5,12,skechers,PURPLE,MMAUVE,MINT,SLATE,PLUM
UNO - STAND ON AIR,"6,999.00",https://www.skechers.in/uno---stand-on-air/73690-LTBL.html,WOMEN,1612,4.3,73690-W,,,,60.0,0,13,skechers,PURPLE,MMAUVE,MINT,SLATE,PLUM
GO WALK FLEX - STRIKING LOOK,"5,499.00",https://www.skechers.in/go-walk-flex---striking-look/124960-CCPK.html,WOMEN,1,5.0,124960-CCPK,,,,60.0,4,1,skechers,,,,,
GO WALK FLEX - STRIKING LOOK,"5,499.00",https://www.skechers.in/go-walk-flex---striking-look/124960-CCPK.html,WOMEN,1,5.0,124960-NVLV,,,,60.0,4,2,skechers,CHARCOAL/PINK,NAVY/LAVENDER,,,
SKECH-LITE PRO-FLOURISHING ST,"5,799.00",https://www.skechers.in/skech-lite-pro-flourishing-st/149989-BKMT.html,WOMEN,4,4.8,149989-BKMT,,,,60.0,5,1,skechers,,,,,
