shoe_name,org_price,discounted_price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5
Softride Premier One8 Youth Walking Shoes,"₹2,749","₹4,999",https://in.puma.com/in/en/pd/softride-premier-one8-youth-walking-shoes/376560?swatch=06&referrer-category=mens-shoes,Unisex,,,376560_06,Softride Premier One8 Youth Walking Shoes,,,,4,3,Puma,Puma Black-Puma White,Cast Iron-Lily Pad,Dark Night-PUMA Red,,
Softride Premier One8 Youth Walking Shoes,"₹2,749","₹4,999",https://in.puma.com/in/en/pd/softride-premier-one8-youth-walking-shoes/376560?swatch=06&referrer-category=mens-shoes,Unisex,,,376560_07,Softride Premier One8 Youth Walking Shoes,,,,4,3,Puma,Puma Black-Puma White,Cast Iron-Lily Pad,Dark Night-PUMA Red,,
Softride Premier One8 Youth Walking Shoes,"₹2,999","₹4,999",https://in.puma.com/in/en/pd/softride-premier-one8-youth-walking-shoes/376560?swatch=01&referrer-category=mens-shoes,Unisex,,,376560_01,Softride Premier One8 Youth Walking Shoes,,,,4,3,Puma,Puma Black-Puma White,Cast Iron-Lily Pad,Dark Night-PUMA Red,,
Softride Premier One8 Youth Walking Shoes,"₹2,749","₹4,999",https://in.puma.com/in/en/pd/softride-premier-one8-youth-walking-shoes/376560?swatch=01&referrer-category=mens-shoes,Unisex,,,376560_06,Softride Premier One8 Youth Walking Shoes,,,,4,3,Puma,Puma Black-Puma White,Cast Iron-Lily Pad,Dark Night-PUMA Red,,
Softride Premier One8 Youth Walking Shoes,"₹2,749","₹4,999",https://in.puma.com/in/en/pd/softride-premier-one8-youth-walking-shoes/376560?swatch=01&referrer-category=mens-shoes,Unisex,,,376560_07,Softride Premier One8 Youth Walking Shoes,,,,4,3,Puma,Puma Black-Puma White,Cast Iron-Lily Pad,Dark Night-PUMA Red,,
Softride Premier One8 Youth Walking Shoes,"₹2,999","₹4,999",https://in.puma.com/in/en/pd/softride-premier-one8-youth-walking-shoes/376560?swatch=07&referrer-category=mens-shoes,Unisex,,,376560_01,Softride Premier One8 Youth Walking Shoes,,,,4,3,Puma,Puma Black-Puma White,Cast Iron-Lily Pad,Dark Night-PUMA Red,,
Softride Premier One8 Youth Walking Shoes,"₹2,749","₹4,999",https://in.puma.com/in/en/pd/softride-premier-one8-youth-walking-shoes/376560?swatch=07&referrer-category=mens-shoes,Unisex,,,376560_06,Softride Premier One8 Youth Walking Shoes,,,,4,3,Puma,Puma Black-Puma White,Cast Iron-Lily Pad,Dark Night-PUMA Red,,
Softride Premier One8 Youth Walking Shoes,"₹2,749","₹4,999",https://in.puma.com/in/en/pd/softride-premier-one8-youth-walking-shoes/376560?swatch=07&referrer-category=mens-shoes,Unisex,,,376560_07,Softride Premier One8 Youth Walking Shoes,,,,4,3,Puma,Puma Black-Puma White,Cast Iron-Lily Pad,Dark Night-PUMA Red,,
Divecat V2 Lite Unisex Slides,"₹1,149","₹2,299",https://in.puma.com/in/en/pd/divecat-v2-lite-unisex-slides/374823?swatch=02&referrer-category=mens-shoes,Unisex,,,374823_01,Slides,,,,7,4,Puma,Puma Black-Puma White,Peacoat-Puma White,Puma White-Puma Black,Fast Yellow-PUMA Black,
Divecat V2 Lite Unisex Slides,"₹1,029","₹2,299",https://in.puma.com/in/en/pd/divecat-v2-lite-unisex-slides/374823?swatch=02&referrer-category=mens-shoes,Unisex,,,374823_02,Slides,,,,7,4,Puma,Puma Black-Puma White,Peacoat-Puma White,Puma White-Puma Black,Fast Yellow-PUMA Black,
