shoe_name,original_price,discount_price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5
HITRAIL MID WPN SHOES,5 999.00,,https://www.adidas.co.in/hitrail-mid-wpn-shoes/IQ8722.html,Men ,3.0,,IQ8722, TERREX,75.0,83.0,50.0,,2,adidas,Olive Strata / Stone / Fango / Preloved Yellow,Tech Indigo / Stone / Night Sky / Lucid Cyan,,,
HITRAIL MID WPN SHOES,5 999.00,,https://www.adidas.co.in/hitrail-mid-wpn-shoes/IQ8723.html,Men ,3.0,,IQ8723, TERREX,75.0,83.0,50.0,,2,adidas,Olive Strata / Stone / Fango / Preloved Yellow,Tech Indigo / Stone / Night Sky / Lucid Cyan,,,
STERLINN M,5 599.00,,https://www.adidas.co.in/sterlinn-m/IQ9158.html,Unisex,,,IQ9158,Nan,,,,,2,adidas,Night Sky / Silver Metallic / Blue Fusion,Medium Lead / Stone / Grey Six / Pulse Blue,,,
STERLINN M,5 599.00,,https://www.adidas.co.in/sterlinn-m/IQ9159.html,Unisex,,,IQ9159,Nan,,,,,2,adidas,Night Sky / Silver Metallic / Blue Fusion,Medium Lead / Stone / Grey Six / Pulse Blue,,,
WALES BONNER SAMBA PONY TONAL LOW TRAINERS,17 999.00,,https://www.adidas.co.in/wales-bonner-samba-pony-tonal-low-trainers/IE0580.html,Unisex,80.0,,IE0580,Originals,90.0,75.0,48.0,,2,adidas,Core Black / Cream White / Cream White,Cream White / Mystery Brown / Cream White,,,
WALES BONNER SAMBA PONY TONAL LOW TRAINERS,17 999.00,,https://www.adidas.co.in/wales-bonner-samba-pony-tonal-low-trainers/IE0586.html,Unisex,80.0,,IE0586,Originals,90.0,75.0,48.0,,2,adidas,Core Black / Cream White / Cream White,Cream White / Mystery Brown / Cream White,,,
SAMBA SHOES,14 999.00,,https://www.adidas.co.in/samba-shoes/IE4955.html,Men ,86.0,,IE4955, Originals,88.0,79.0,51.0,,7,adidas,Almost Yellow / Almost Yellow / Off White,Sand Strata / Sand Strata / Off White,Wonder Silver / Wonder Silver / Off White,Wonder Quartz / Wonder Quartz / Off White,Core Black / Core Black / Gum
SAMBA SHOES,14 999.00,,https://www.adidas.co.in/samba-shoes/IE4956.html,Men ,86.0,,IE4956, Originals,88.0,79.0,51.0,,7,adidas,Almost Yellow / Almost Yellow / Off White,Sand Strata / Sand Strata / Off White,Wonder Silver / Wonder Silver / Off White,Wonder Quartz / Wonder Quartz / Off White,Core Black / Core Black / Gum
SAMBA SHOES,14 999.00,,https://www.adidas.co.in/samba-shoes/IE4957.html,Men ,86.0,,IE4957, Originals,88.0,79.0,51.0,,7,adidas,Almost Yellow / Almost Yellow / Off White,Sand Strata / Sand Strata / Off White,Wonder Silver / Wonder Silver / Off White,Wonder Quartz / Wonder Quartz / Off White,Core Black / Core Black / Gum
SAMBA SHOES,14 999.00,,https://www.adidas.co.in/samba-shoes/IE4958.html,Men ,86.0,,IE4958, Originals,88.0,79.0,51.0,,7,adidas,Almost Yellow / Almost Yellow / Off White,Sand Strata / Sand Strata / Off White,Wonder Silver / Wonder Silver / Off White,Wonder Quartz / Wonder Quartz / Off White,Core Black / Core Black / Gum
